location_id,user_id,longitude,latitude,start_date,start_time,duration,weekday,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,1,121.4701013,25.0226062,2020-09-21,21:14,,2,HOME,1,,,,Home,entering myPlace,,,
2,1,121.4709356,25.02278628,2020-09-21,22:53,,2,中山公園,台灣彩券,臨洋港生猛活海鮮(萬板店),吳宏誠小兒科診所,中山公園(莊敬路),park,point_of_interest,restaurant,health,transit_station
3,1,121.4704538,25.02267961,2020-09-21,22:56,,2,翁林.林,漁網居酒屋,臨洋港生猛活海鮮(萬板店),全聯福利中心-新埔捷運店,台灣彩券,restaurant,restaurant,restaurant,supermarket,point_of_interest
4,1,121.4704281,25.02267616,2020-09-21,23:08,,2,翁林.林,漁網居酒屋,吃啥冰品(民生店),臨洋港生猛活海鮮(萬板店),全聯福利中心-新埔捷運店,restaurant,restaurant,point_of_interest,restaurant,supermarket
5,1,121.4705032,25.0226793,2020-09-21,23:58,,2,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,臨洋港生猛活海鮮(萬板店),point_of_interest,restaurant,restaurant,point_of_interest,restaurant
6,1,121.4703691,25.02274501,2020-09-22,0:05,,3,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,全聯福利中心-新埔捷運店,point_of_interest,restaurant,restaurant,point_of_interest,supermarket
7,1,121.4705394,25.02261401,2020-09-22,1:34,,3,翁林.林Café,漁網居酒屋,臨洋港生猛活海鮮(萬板店),吃啥冰品飲料店,全聯福利中心-新埔捷運店,restaurant,restaurant,restaurant,point_of_interest,supermarket
8,1,121.4705497,25.02260149,2020-09-22,3:12,,3,翁林.林Café,漁網居酒屋,臨洋港生猛活海鮮(萬板店),全聯福利中心-新埔捷運店,吃啥冰品飲料店,restaurant,restaurant,restaurant,supermarket,point_of_interest
9,1,121.4704382,25.02267579,2020-09-22,3:40,,3,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,全聯福利中心-新埔捷運店,point_of_interest,restaurant,restaurant,point_of_interest,supermarket
10,1,121.4705026,25.02265583,2020-09-22,3:56,,3,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,臨洋港生猛活海鮮(萬板店),point_of_interest,restaurant,restaurant,point_of_interest,restaurant
11,1,121.470538,25.02286625,2020-09-22,5:53,,3,采繪堂畫室,翁林.林Café,漁網居酒屋,吃啥冰品飲料店,全聯福利中心-新埔捷運店,point_of_interest,restaurant,restaurant,point_of_interest,supermarket
12,1,121.4704302,25.02267505,2020-09-22,9:40,,3,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,全聯福利中心-新埔捷運店,point_of_interest,restaurant,restaurant,point_of_interest,supermarket
13,1,121.4705032,25.0226793,2020-09-22,9:42,,3,吃啥冰品飲料店,翁林.林Café,漁網居酒屋,桌遊二三事 Board Game Trivia,臨洋港生猛活海鮮(萬板店),point_of_interest,restaurant,restaurant,point_of_interest,restaurant
14,1,121.4701013,25.0226062,2020-09-22,11:25,,3,HOME,1,,,,Home,exiting myPlace,,,
15,1,121.4687323,25.02226355,2020-09-22,11:26,,3,Oyami Cafe 新埔店,板橋花市,創價學會板橋藝文中心,爭鮮迴轉壽司-新埔店,全家便利商店 板橋文興店,restaurant,point_of_interest,point_of_interest,restaurant,convenience_store
16,1,121.5436817,25.04066569,2020-09-22,12:02,,3,鼎泰豐 復興店,頂呱呱復興店,City’Super 復興SOGO店,成真咖啡台北sogo復興店,點水樓(復興店),restaurant,restaurant,supermarket,cafe,restaurant
17,1,121.5436817,25.04066569,2020-09-22,12:04,,3,台北福華大飯店The Howard Plaza Hotel Taipei,丹堤咖啡,Plants,葛鎂診所,花園大道(自助餐) Park Avenue-台北福華大飯店,lodging,cafe,grocery_or_supermarket,health,restaurant
18,1,121.5568103,25.0043122,2020-09-22,12:12,,3,7-ELEVEn 辛亥站門市,滑遍天下滑雪小舖(沒有夏天),信義房屋 捷運辛亥店,環遊市,滑雪小舖,convenience_store,point_of_interest,real_estate_agency,point_of_interest,point_of_interest
19,1,121.5796858,24.99836141,2020-09-22,12:14,,3,動物園站,臺北市立動物園,木柵動物園停車場（河川高灘地）,葡而飛街角複合式簡餐,臺北市立動物園臺灣動物區,subway_station,zoo,parking,restaurant,zoo
20,1,121.5767944,24.99029874,2020-09-22,12:22,,3,Taibeishiwenshanquwanxing Elementary School,萬興國小運動中心-恆動力萬興營業所,Da Cheng High School,Dacheng High School,神奇山莊社區,primary_school,point_of_interest,school,transit_station,point_of_interest
22,1,121.5760445,24.9875223,2020-09-22,12:31,,3,國立政治大學,政大,米塔義式廚房-政大店,Louisa Coffee,全家(興政店),university,school,restaurant,cafe,convenience_store
23,1,121.5767798,24.98645685,2020-09-22,12:32,,3,國立政治大學商學院圖書分館,NCCU Main Library,萊爾富便利商店,國立政治大學圖書館,國立政治大學商學院,library,library,convenience_store,university,university
24,1,121.5767798,24.98645685,2020-09-22,12:45,,3,國立政治大學商學院圖書分館,NCCU Main Library,萊爾富便利商店,國立政治大學圖書館,國立政治大學商學院,library,library,convenience_store,university,university
25,1,121.5768405,24.98674943,2020-09-22,17:04,,3,National Chengchi University,NCCU College of Commerce,Hilife,逸仙樓,國立政治大學商學院圖書分館,university,university,convenience_store,school,library
26,1,121.5770836,24.98739579,2020-09-22,17:40,,3,國立政治大學,全家便利商店 政富店,7-ELEVEN 金恩門市,豚將-日本拉麵(政大店),今日書局有限公司,university,convenience_store,convenience_store,restaurant,book_store
27,1,121.5770447,24.98737162,2020-09-22,17:42,,3,國立政治大學,全家便利商店 政富店,7-ELEVEN 金恩門市,老麥(麵)水煎包,今日書局有限公司,university,convenience_store,convenience_store,restaurant,book_store
28,1,121.577282,24.98662911,2020-09-22,17:55,,3,DORM,2,,,,Dorm,entering myPlace,,,
29,1,121.577408,24.98648699,2020-09-22,18:02,,3,National Chengchi University,政大莊敬一舍,金鮨日式料理,滇味廚房,NCCU College of Commerce,university,school,restaurant,restaurant,university
